job_id,job_title,company,job_function,job_type,industry,career_level,years_of_experience,qualification,benefits
100003008734971,Senior System Officer,Joint Electronic Teller Services Limited (“JETCO”),"Information Technology (IT), Hardware, Support, Network & System","Full Time, Permanent",,Entry Level,5 years,Degree,"Dental insurance, Double pay, Education allowance, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003008734528,Planner (Advertising & Media Field),Optimum Media Direction,"Media & Advertising, Account Servicing, Media Buying, Others","Full Time, Permanent",,Middle,1 year,Degree,"Dental insurance, Free shuttle bus, Life insurance, Medical insurance, Five-day work week"
100003008732845,Accounts Clerk,Lai Sun Development Co Ltd,"Accounting, Accounting Clerk / Supervisor, Others, Admin & HR, Clerical / Admin Staff","Full Time, Permanent",,Entry Level,N/A,School Certificate,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003008736354,"Senior Officer, Digital Marketing",United Asia Finance Limited,"Marketing / Public Relations, Public Relations - General / Support, Others, Digital Marketing","Full Time, Permanent",,Middle,6 years,Degree,"Double pay, Education allowance, Medical insurance, Performance bonus"
100003008738982,UI/UX DESIGNER,Sun Hung Kai Properties Ltd,"Design, Web Designer, Information Technology (IT), Others, UI/UX Designer","Full Time, Permanent",,Entry Level,3 years,Non-Degree Tertiary,"Dental insurance, Double pay, Education allowance, Medical insurance, Performance bonus, Five-day work week"
100003008737526,Junior / Sales Associate (Sogo Polo Store),Ralph Lauren,"Sales, CS & Business Devpt, Retail Sales, Sales - Sales Management, Others","Full Time, Permanent",,Middle,1 year,School Certificate,"Dental insurance, Double pay, Life insurance, Medical insurance"
100003008740327,Java Developer In Test,Nityo Infotech Services Limited,"Others, Others",Full Time,,,,,
100003008738340,Assistant Engineer,HKT,"Engineering, Electrical / Electronics, Engineering Project Management, Telecommunication / Wireless / Radio",Permanent,,Entry Level,N/A,Degree,
100003008740342,Senior Process Engineer,Nexperia Hong Kong Limited,"Engineering, Others",Full Time,,,,,"Dental insurance, Double pay, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003008740416,"Senior Merchandiser – Woven, Denim & Outerwear",American Eagle Outfitters Asia Ltd,"Merchandising & Purchasing, Woven / Knit, Textiles, Procurement / Purchasing / Sourcing","Full Time, Permanent, Contract, Freelance",,Middle,5 years,Degree,
100003008739259,Senior System Analyst,HKT,"Information Technology (IT), Application Specialist - Software, Software Development",Full Time,,Middle,2 years,Degree,
100003008740258,Assistant Technical Engineer – Clinical Diagnostic Systems,Healthpro Technology Company Limited,"Engineering, Electrical / Electronics, Medical Services, Medical Services Technician",Full Time,,Middle,3 years,Degree,"Performance bonus, Transportation allowance, Travel allowance"
100003008735744,"Area Sales and Operations Associate Director , Travel Retail China",Estee Lauder (Hong Kong) Ltd,"Sales, CS & Business Devpt, Business Development, Sales - Sales Management, Others",Full Time,,Top,8 years,Degree,
100003008725229,Project Manager/Designer - Furniture for Retail,Kingwood International Enterprises Ltd,"Manufacturing, Product Development / Management, Merchandising & Purchasing, Furniture, Sales, CS & Business Devpt, Retail Sales","Full Time, Permanent",,Middle,,Degree,"Double pay, Medical insurance, Performance bonus"
100003008739899,Legal Clerk / Paralegal,W K To & Co,"Professional Services, Legal & Compliance","Full Time, Permanent",,Entry Level,2 years,Degree,"Double pay, Medical insurance, Performance bonus, Five-day work week"
100003008740257,"Assistant Manager, Treasury",Spring Professional (Hong Kong) Limited,"Banking / Finance, Treasury",Permanent,,,,,"Double pay, Performance bonus"
100003008734335,Laboratory Technician/ Assistant (Night shift),"Hong Kong Laboratory Co., Limited","Sciences, Lab, R&D, Laboratory, Life Science, Others","Full Time, Permanent",,Entry Level,,,"Dental insurance, Double pay, Housing allowance, Medical insurance, Performance bonus, Transportation allowance"
100003008737603,Senior Associate Consultant,Aon,"Accounting, Consulting, Media & Advertising, Account Servicing, Admin & HR, Compensation & Benefits",Full Time,,Middle,4 years,Degree,
100003008734848,Supply Chain Planner,Indigo Living Ltd,"Transportation & Logistics, Shipping, Supply Chain",Full Time,,Entry Level,1 year,Degree,"Life insurance, Medical insurance, Performance bonus, Five-day work week"
